Ticker;Ticker BBG;Name
SPG;SPG UN Equity;Simon Property Group Inc
EMN;EMN UN Equity;Eastman Chemical Co
AVB;AVB UN Equity;AvalonBay Communities Inc
PRU;PRU UN Equity;Prudential Financial Inc
UPS;UPS UN Equity;United Parcel Service Inc
AIV;AIV UN Equity;Apartment Investment and Management Co
APOL;APOL UW Equity;Apollo Education Group Inc
MCK;MCK UN Equity;McKesson Corp
DFODQ;DFODQ UN Equity;Dean Foods Co
LMT;LMT UN Equity;Lockheed Martin Corp
ABC;ABC UN Equity;AmerisourceBergen Corp
WAT;WAT UN Equity;Waters Corp
DLTR;DLTR UW Equity;Dollar Tree Inc
XPO;XPO UN Equity;XPO Logistics Inc
DRI;DRI UN Equity;Darden Restaurants Inc
DOFSQ;DOFSQ UN Equity;Diamond Offshore Drilling Inc
LXK;LXK UN Equity;Lexmark International Inc
NTAP;NTAP UW Equity;NetApp Inc
CTXS;CTXS UW Equity;Citrix Systems Inc
DVA;DVA UN Equity;DaVita Inc
FHI;FHI UN Equity;Federated Hermes Inc
EL;EL UN Equity;Estee Lauder Cos Inc/The
1518855D;1518855D US Equity;Yahoo! Inc - Set up for Fundamental Purp
IMH;IMH UA Equity;Impac Mortgage Holdings Inc
PFG;PFG UN Equity;Principal Financial Group Inc
ATI;ATI UN Equity;Allegheny Technologies Inc
SRCL;SRCL UW Equity;Stericycle Inc
ETFC;ETFC UW Equity;E*TRADE Financial Corp
ANF;ANF UN Equity;Abercrombie & Fitch Co
NOV;NOV UN Equity;NOV Inc
DGX;DGX UN Equity;Quest Diagnostics Inc
ROK;ROK UN Equity;Rockwell Automation Inc
AMT;AMT UN Equity;American Tower Corp
AMZN;AMZN UW Equity;Amazon.com Inc
AC;AC UN Equity;Associated Capital Group Inc
RL;RL UN Equity;Ralph Lauren Corp
BXP;BXP UN Equity;Boston Properties Inc
PKDSQ;PKDSQ UN Equity;Parker Drilling Co
APH;APH UN Equity;Amphenol Corp
VLO;VLO UN Equity;Valero Energy Corp
WU;WU UN Equity;Western Union Co/The
CHRW;CHRW UW Equity;CH Robinson Worldwide Inc
ACN;ACN UN Equity;Accenture PLC
PLD;PLD UN Equity;Prologis Inc
FE;FE UN Equity;FirstEnergy Corp
AEE;AEE UN Equity;Ameren Corp
NVDA;NVDA UW Equity;NVIDIA Corp
SEE;SEE UN Equity;Sealed Air Corp
CTSH;CTSH UW Equity;Cognizant Technology Solutions Corp
ISRG;ISRG UW Equity;Intuitive Surgical Inc
CNX;CNX UN Equity;CNX Resources Corp
AET;AET UN Equity;Aetna Inc
RSG;RSG UN Equity;Republic Services Inc
GS;GS UN Equity;Goldman Sachs Group Inc/The
SRE;SRE UN Equity;Sempra Energy
MCO;MCO UN Equity;Moody's Corp
BKNG;BKNG UW Equity;Booking Holdings Inc
AKAM;AKAM UW Equity;Akamai Technologies Inc
RAI;RAI UN Equity;Reynolds American Inc
SLM;SLM UW Equity;SLM Corp
SNBC;SNBC UW Equity;Sun Bancorp Inc/NJ
GOOGL;GOOGL UW Equity;Alphabet Inc
APPF;APPF UQ Equity;Appfolio Inc
OXFD;OXFD UQ Equity;Oxford Immunotec Global PLC
RHT;RHT UN Equity;Red Hat Inc
MKTX;MKTX UW Equity;MarketAxess Holdings Inc
ALRM;ALRM UW Equity;Alarm.com Holdings Inc
NFLX;NFLX UW Equity;Netflix Inc
A;A UN Equity;Agilent Technologies Inc
ANTM;ANTM UN Equity;Anthem Inc
CME;CME UW Equity;CME Group Inc
SPNS;SPNS UR Equity;Sapiens International Corp NV
JNPR;JNPR UN Equity;Juniper Networks Inc
BLK;BLK UN Equity;BlackRock Inc
DTE;DTE UN Equity;DTE Energy Co
NDAQ;NDAQ UW Equity;Nasdaq Inc
PM;PM UN Equity;Philip Morris International Inc
PSIX;PSIX UR Equity;Power Solutions International Inc
CRM;CRM UN Equity;salesforce.com Inc
MET;MET UN Equity;MetLife Inc
1856613D;1856613D UN Equity;Monsanto Co
TPR;TPR UN Equity;Tapestry Inc
1806854D;1806854D UN Equity;Dun & Bradstreet Corp/The
EW;EW UN Equity;Edwards Lifesciences Corp
